2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
271,Ventura,California,"111,128","106,433",+4.41%,21.8,56.5,"5,027","1,941",34°16′04″N 119°15′15″W﻿ ,United States,,Saint Bonaventure,,,Neal Andrews,32.25,21.82,10.43,,36 ft,"110,790","5,077.45",Venturan,UTC−8 (Pacific),UTC−7 (PDT),"93001–93007, 93009",06-65042,cityofventura.net,,"April 2, 1866",,805,"1667934, 2411779",Ventura,,,,,,Mark Watkins,,Oxnard Airport (OXR)commercial service
272,Centennial,Colorado,"110,831","100,377",+10.41%,29.5,76.4,"3,727","1,439",39°35′26″N 104°52′09″W﻿ ,United States,,,Home Rule Municipality,,Cathy Noon,,29.55,0.15,"2,697,476","5,830 ft","109,932","3,720.58",,UTC-7 (MST),UTC-6 (MDT),"80015-80016, 80111-80112, 80121-80122,80161 (PO Box)",08-12815,www.centennialco.gov,,2001,"2,374,203",Both 303 and 720,,Arapahoe County,,,,,,,,
273,Lakeland,Florida,"110,516","97,422",+13.44%,65.9,170.7,"1,615",624,28°03′20″N 81°57′18″W﻿ ,United States,1875,,Commission-Manager,,Bill Mutz,,65.91,9.02,"584,383",197 ft,"108,054","1,614.68",Lakelander,UTC-5 (EST),UTC-4 (EDT),33801–33815,12-38250,http://www.lakelandgov.net/,,"January 1, 1885",,863,0294459,Polk,74.93,,,,,"Anthony ""Tony"" Delgado",,
274,Gresham,Oregon,"110,158","105,594",+4.32%,23.3,60.3,"4,786","1,848",45°30′08″N 122°26′30″W﻿ ,United States,,Walter Q. Gresham,,,Shane Bemis (R),,23.20,0.23,"2,314,554",325 ft,"111,523","4,551.5",Greshamite,UTC−8 (Pacific),UTC−7 (Pacific),"97030, 97080, 97233",41-31250,www.greshamoregon.gov,,1905,,503 and 971,1121424,Multnomah,23.43,,,,,,,
275,Richmond,California,"110,146","103,701",+6.21%,30.1,78.0,"3,648","1,409",37°57′08″N 122°21′38″W﻿ ,United States,,"Richmond, Virginia, United States",Council-Manager,"City council:Tom Butt (D) (mayor),Jovanka Beckles, Nathaniel Bates,Eduardo Martinez,Gayle McLaughlin, andJael Myrick",,,30.05,22.46,"4,335,391",46 ft,"109,813","3,654.10",,UTC−8 (Pacific),UTC−7 (PDT),"94801, 94802, 94804, 94805, 94807, 94808, 94850",06-60620,www.ci.richmond.ca.us,,"August 7, 1905","28,038",510,,Contra Costa,52.51,,,,,,,
276,Billings,Montana,"109,550","104,170",+5.16%,43.7,113.2,"2,525",975,45°47′19″N 108°33′00″W﻿ ,United States,,Frederick H. Billings,Mayor-Council,,Bill Cole,,43.41,0.11,"171,677","3,123 ft","109,550","2,400",,UTC−7 (Mountain),UTC−6 (Mountain),59101-59117,30-06550,CityofBillings.Net,,1882,"114,773",406,0802034,Yellowstone,43.52,,,,1877,,,
277,Inglewood,California,"109,419","109,673",−0.23%,9.1,23.6,"12,160","4,700",33°57′22″N 118°20′39″W﻿ ,United States,,,Council-Manager-Commission,,,9.09,9.07,0.03,,131 ft,"110,654","12,202.69",,UTC−8 (Pacific),UTC−7 (PDT),90301–90312,06-36546,www.cityofinglewood.org,,"February 7, 1908",,"310/424, 213/323","1660799, 2410106",Los Angeles,,,105/ 405,,,,"James T. Butts, Jr.
George Dotson
Alex Padilla,
Eloy Morales, Jr.,

Ralph L. Franklin",Los Angeles International AirportLAX (Major/International)
278,Broken Arrow,Oklahoma,"109,171","98,850",+10.44%,61.7,159.8,"1,741",672,36°02′11″N 95°46′52″W﻿ ,United States,,,Council-Manager,,Craig Thurmond,,45.0,0.6,"961,561",755 ft,"106,653","2,200",,UTC−6 (CST),UTC−5 (CDT),74011-74014,40-09050,City of Broken Arrow,,1903,,539/918,1090512,"Tulsa, Wagoner",45.6,,,,1902,Michael L. Spurgeon,,
279,Sandy Springs,Georgia,"108,797","93,853",+15.92%,37.7,97.6,"2,804","1,083",33°55′53″N 84°22′07″W﻿ ,United States,,,,,Rusty Paul,38.5,37.6,0.9,,"1,093 ft","106,739","2,707",,UTC−5 (EST),UTC−4 (EDT),"30328, 30327, 30338, 30342, 30350, 30358, 30319, 30092",13-68516,www.sandyspringsga.gov,,December 2005,,404/678/770/470,0332975,Fulton,,,,,,John F. McDonough,,
280,Jurupa Valley,California,"108,393",0,NA[ab],42.9,111.1,"2,414",932,34°00′09″N 117°28′03″W﻿ ,United States of America,,,Council-Manager,,Verne Lauritzen,,42.94,0.74,"4,527,837",,"106,028","2,411.24",,UTC-8 (PST),UTC-7 (PDT),"92509, 91752",06-37692,jurupavalley.org,,"July 1, 2011",,951,2702867,Riverside,43.68,,,,,,"Council members
Brian BerksonMichael GoodlandAnthony KellyVerne LauritzenLaura Roughton",
281,Hillsboro,Oregon,"108,389","91,611",+18.31%,25.0,64.7,"4,207","1,624",45°31′41″N 122°56′09″W﻿ ,United States,,David Hill,Council–manager,,Steve Callaway,24.25,24.24,0.01,,194 ft,"106,894","3,833.1",Hillsboroans,UTC−8 (PST),UTC−7 (PDT),"97123, 97124, 97006",41-34100,www.hillsboro-oregon.gov,,"October 19, 1876",,503 and 971,1163049,Washington,,,,,,Michael Brown,,
282,Waterbury,Connecticut,"108,093","110,366",−2.06%,28.5,73.8,"3,799","1,467",41°33′31″N 73°02′12″W﻿ ,United States,,,Mayor-council,,Neil O'Leary (D),29.0,28.5,0.4,,270 ft,"108,272","3,869.9",,UTC−5 (Eastern),UTC−4 (Eastern),06701–06720,09-80000,www.waterburyct.org,,1686,,203,0211851,New Haven,,,,,,,,
283,Santa Maria,California,"107,408","99,553",+7.89%,22.8,59.1,"4,662","1,800",34°56′00″N 120°26′38″W﻿ ,United States,,,Council-manager,,Alice Patino,,22.78,0.64,,217 ft,"108,470","4,665.53",,UTC−8 (Pacific),UTC−7 (PDT),93454–93458,06-69196,www.ci.santa-maria.ca.us,,"September 12, 1905",,805,"1652791, 2411824",Santa Barbara,23.42,,,,1874,,,
284,Boulder,Colorado,"107,353","97,385",+10.24%,24.8,64.2,"4,358","1,683",40°01′37″N 105°15′07″W﻿ ,United States,,,Home rule municipality,,Suzanne Jones,,24.84,1.01,"313,333","5,328 ft","108,090","4,351.62",Boulderite,UTC-7 (MST),UTC-6 (MDT),"80301-80310, 80314, 80321-80323, 80328, 80329",08-07850,bouldercolorado.gov,,1871-11-04,,Both 303 and 720,,Boulder,,,,,,,,
285,Greeley,Colorado,"107,348","92,889",+15.57%,47.8,123.8,"2,176",840,40°24′55″N 104°46′11″W﻿ ,United States,,Horace Greeley,Home Rule Municipality,,John Gates ,47.92,47.79,0.12,,"4,675 ft","103,990","2,175.80",,UTC−7 (MST),UTC−6 (MDT),80631-80634 & 80638-80639,08-32155,City of Greeley Colorado,,1885-11-15,,970,0180649,Weld,,,,,1869,,,
286,Daly City,California,"107,008","101,123",+5.82%,7.6,19.7,"14,009","5,409",37°42′03″N 122°27′54″W﻿ ,United States,,John Daly,Council-Manager,,Raymond A. Buenaventura,7.64,7.64,0.00,,344 ft,"106,472","13,936.13",,UTC−8 (Pacific),UTC−7 (PDT),94014–94017,06-17918,www.dalycity.org,,"March 22, 1911",,"415/628, 650","1658369, 2410291",San Mateo,,,,,,,,
287,Meridian,Idaho,"106,804","75,092",+42.23%,29.8,77.2,"3,584","1,384",43°36′51″N 116°23′56″W﻿ ,United States,,,,,Tammy de Weerd,,29.72,0.06,"709,845","2,605 ft","99,926","3,217.03",,UTC−7 (Mountain),UTC−6 (Mountain),"83642, 83646, 83680",16-52120,www.meridiancity.org,,1903,,208,0396879,Ada,29.79,,,,1893,,,
288,Lewisville,Texas,"106,586","95,290",+11.85%,36.7,95.1,"2,852","1,101",33°02′48″N 96°58′54″W﻿ ,United States,,,Council–manager,,,42.47,36.4,6.07,,525 ft,"104,039288","2,618",,UTC−6 (Central),UTC−5 (Central),"75029, 75057, 75067, 75077",42508,www.cityoflewisville.com,,"January 15, 1925 (1925-01-15)",,"214, 469, 972",1339860,"Denton, Dallas",,,,,,Donna Barron,,
289,Davie,Florida,"106,558","91,992",+15.83%,34.9,90.4,"2,919","1,127",26°04′45″N 80°17′06″W﻿ ,United States of America,1909,,Council-Manager,,Judy Paul (D),,34.90,0.83,"5,564,635",9 ft,"105,149","2,918.77",,UTC-5 (EST),UTC-4 (EDT),"33312, 33314, 33317, 33324-33332, 33355, 33331",12-16475,www.davie-fl.gov,,"November 16, 1925",,"754, 954",0281316,Broward,,,,,,,,
290,West Covina,California,"106,311","106,098",+0.20%,16.0,41.4,"6,740","2,600",34°03′21″N 117°54′36″W﻿ ,United States,,,Council-Manager,,Lloyd Johnson,16.09,16.04,0.05,,384 ft,"107,847","6,723.21",,UTC−8 (PST),UTC−7 (PDT),91790–91793,06-84200,www.westcovina.org,,"February 17, 1923",,"626, 909","1652809, 2412219",Los Angeles,,,,,,,,
291,League City,Texas,"106,244","83,560",+27.15%,51.2,132.6,"1,992",769,29°29′24″N 95°06′33″W﻿ ,United States of America,,,Council-Manager,,Pat Hallisey,53.0,51.3,1.7,,20 ft,"102,010297","1,989",,UTC-6 (Central (CST)),UTC-5 (CDT),77573-77574,48-41980,http://www.leaguecitytx.gov,,1961,,281/346/713/832,1339753,Galveston,,,,,,John Baumgartner,Dan Becker  Hank Dugie  Larry Millican  Todd Kinsey  Greg Gripon  Keith Gross  Nick Long,
292,Tyler,Texas,"105,729","96,900",+9.11%,56.6,146.6,"1,852",715,32°19′02″N 95°18′21″W﻿ ,United States,,John Tyler,Council-Manager,,Martin Heines (D),,54.2,0.1,"216,080",544 ft,"104,998","1,800",Tylerite,UTC−6 (Central),UTC−5 (Central),757xx,48-74144,www.cityoftyler.org,,,"130,247",430/903,1348998,Smith,54.376,,,,1846,Edward Broussard,"Members
Linda SellersBroderick McGeeEd MooreDon WarrenBob WestbrookJohn Nix",
293,Norwalk,California,"105,120","105,549",−0.41%,9.7,25.1,"10,946","4,226",33°54′27″N 118°05′01″W﻿ ,United States,,,Council/Manager,,,9.75,9.71,0.04,,92 ft,"106,178","10,936.04",,UTC−8 (Pacific),UTC−7 (PDT),"90650–90652, 90659",06-52526,www.norwalk.org,,"August 26, 1957",,562,"1661123, 2411281",Los Angeles,,,,,,Jesus Gomez,,Los Angeles International AirportLAX (Major/International)
294,San Mateo,California,"105,025","97,207",+8.04%,12.1,31.3,"8,592","3,317",37°33′37″N 122°18′38″W﻿ ,United States,,St. Matthew,,,Diane Papan,15.88,12.13,3.75,,46 ft,"104,748","8,570.40",,UTC−8 (Pacific),UTC−7 (PDT),"94401–94404, 94497",06-68252,www.cityofsanmateo.org,,"September 4, 1894",,650,"1659584, 2411800",San Mateo,,(planned),,,,Drew Corbett,,San Francisco International AirportSFO (Major/International)
295,Green Bay,Wisconsin,"104,879","104,057",+0.79%,45.4,117.6,"2,316",894,44°31′15″N 87°59′03″W﻿ ,United States,,,,,Eric Genrich,,45.48,10.28,"320,050",581 ft,"105,116","2,311.41",,UTC−6 (Central),UTC−5 (CDT),"54301-08, 54311, 54313, 54324, 54344",55-31000,greenbaywi.gov,,,"206,520",920,1565801,Brown,55.76,,,,,,,
296,Wichita Falls,Texas,"104,576","104,553",+0.02%,72.2,187.0,"1,450",560,33°54′24″N 98°31′33″W﻿ ,United States,,,Council-manager,,Stephen Santellana (R),,70.66,0.04,"151,201",948 ft,"104,898","1,500",,UTC−6 (CST),UTC−5 (CDT),76301-11,48-79000,City of Wichita Falls,,,"99,437",940,,Wichita,70.1,,,,,Darron Leiker,"Members
Bobby WhiteleyEric WestDeandra ChenaultJeff BrowningTim BrewerSteve Jackson",
297,Sparks,Nevada,"104,246","90,264",+15.49%,35.9,93.0,"2,810","1,080",39°33′16″N 119°44′08″W﻿ ,United States,,John Sparks,Council-manager,,Ron Smith (R),35.9,35.8,0.2,,"4,413 ft","100,888","2,500",,UTC−8 (PST),UTC−7 (PDT),89431–89437,32-68400,cityofsparks.us,,"March 15, 1905",,775,0856391,Washoe,,,,,1904,,,
298,Lakewood,New Jersey,"104,157","92,843",+12.19%,24.7,64.0,"4,079","1,575",40°04′38″N 74°12′01″W﻿ ,United States,,,Township,Township Committee,"Raymond Coles (D) (term ends December 31, 2019)",24.982,24.577,0.405,,49 ft,"104,157","3,777.7",,UTC-5 (Eastern (EST)),UTC-4 (Eastern (EDT)),08701,34-38550,www.lakewoodnj.gov,,"March 23, 1892",,732,,Ocean,,,,,,,,
299,Burbank,California,"103,695","103,340",+0.34%,17.4,45.1,"6,003","2,318",34°11′24″N 118°19′35″W﻿ ,United States,,David Burbank,Council-manager,,Emily Gabel-Luddy,17.39,17.35,0.04,,607 ft,"104,834","6,018.61",,UTC−8 (Pacific),UTC−7 (PDT),"91501–91508, 91510, 91521–91523, 91526",06-08954,burbankca.gov,,"July 8, 1911",,747/818,"1652677, 2409939",Los Angeles,,(planned),,,"May 1, 1887",Ron Davis,,Los Angeles International AirportLAX (Major/International)
300,Rialto,California,"103,440","99,171",+4.30%,22.3,57.8,"4,633","1,789",34°06′42″N 117°23′18″W﻿ ,United States,,,,,,22.34,22.33,0.01,,"1,257 ft","103,562","4,637.80",,UTC−8 (Pacific Time Zone),UTC−7 (PDT),92376–92377,06-60466,www.rialtoca.gov,,"November 17, 1911",,909,"1661306, 2410931",San Bernardino,,,,,,,,
301,Allen,Texas,"103,383","84,246",+22.72%,27.1,70.2,"3,715","1,434",33°05′59″N 96°39′47″W﻿ ,United States,,,Council–manager,,,27.1,,,,659 ft,"94,179","3,108",,UTC-6 (CST),UTC-5 (CDT),"75002, 75013",48-01924,City of Allen official website,,1953,,"214, 469, 972",1329377,Collin,,,,,,Peter H. Vargas,Mayor Steve Terrell  Baine Brooks Gary L. Caplinger Lauren Doherty  Kurt Kizer Carl Clemencich  Robin L. Sedlacek,
302,El Cajon,California,"103,241","99,478",+3.78%,14.5,37.6,"7,156","2,763",32°48′06″N 116°57′37″W﻿ ,United States,,,,,Bill Wells,14.48,14.48,0.00,,433 ft,"103,894","7,175.00",,UTC−8 (Pacific),UTC−7 (PDT),"92019–92022, 92090",06-21712,www.ci.el-cajon.ca.us,,"November 12, 1912",,619,"1652701, 2410406",San Diego,,,,,,,,
303,Las Cruces,New Mexico,"102,926","97,618",+5.44%,76.9,199.2,"1,323",511,32°19′35″N 106°47′23″W﻿ ,United States,,,Council–manager,,Ken Miyagishima,,76.5,0.2,"213,233","3,900 ft","101,712",,,UTC-7 (Mountain),UTC-6 (DST),,35-39380,www.las-cruces.org,,1907:135,,575,0899715,Doña Ana,76.6,,,,1849,Stuart C. Ed,,El Paso International AirportELP (Major/International)
304,Renton,Washington,"102,153","90,927",+12.35%,23.4,60.6,"4,314","1,666",47°28′34″N 122°11′31″W﻿ ,United States,,,,,Denis Law,23.61,23.43,0.18,,46–410 ft,"101,379","4,325.97",,UTC−8 (PST),UTC−7 (PDT),98055–98059,53-57745,www.rentonwa.gov,,,,425,1512599,King,,,,,,,,
305,Davenport,Iowa,"102,085","99,685",+2.41%,62.9,162.9,"1,631",630,41°33′15″N 90°36′14″W﻿ ,United States,1836,,Mayor–council,,Frank Klipsch ,,62.95,2.13,"382,630",580 ft,"102,085","1,584",,UTC−6 (CST),UTC−5 (CDT),52801–52809,19-19000,www.cityofdavenportiowa.com,,"January 25, 1839",,563,,Scott,65.08,,"I-74, I-80",,,,,
306,South Bend,Indiana,"101,860","101,168",+0.68%,41.4,107.2,"2,457",949,41°40′37″N 86°16′08″W﻿ ,United States,,,Strong Mayor-Council,,Pete Buttigieg (D),,41.40,0.42,"318,586",692 ft,"101,735","2,457.37",,UTC−5 (EST),UTC−4 (EDT),"46601, 46604, 46612–46617, 46619–46620, 46624, 46626, 46628–46629, 46634–46635, 46637, 46660, 46680, 46699",18-71000,www.southbendin.gov,"721,296 (US: 65th)",1865,,574,452796,St. Joseph,41.82,,,,,,,
307,Vista,California,"101,224","93,834",+7.88%,18.7,48.4,"5,436","2,099",33°11′22″N 117°14′19″W﻿ ,United States of America,,,Council-Manager,,Judy Ritter,18.68,18.68,0.00,,325 ft,"101,659","5,442.13",,UTC−8 (Pacific Time Zone),UTC−7 (PDT),"92081, 92083–92085",06-82996,www.cityofvista.com,,"January 28, 1963",,442/760,"1661645, 2412161",San Diego,,,,,,Patrick Johnson,,
308,Tuscaloosa,Alabama,"101,113","90,468",+11.77%,71.7,185.7,"1,399",540,33°12′23″N 87°32′05″W﻿ ,United States,,,Mayor-Council,,Walter Maddox (D),,61.64,10.06,"235,628",222 ft,"100,287","1,627.03",,UTC−6 (CST),UTC−5 (CDT),"35401-35407, 35485-35487",01-77256,www.tuscaloosa.com,,"December 13, 1819","139,114",205,0153742,Tuscaloosa,71.70,,,,,,,
309,Clinton,Michigan,"100,800","96,796",+4.14%,28.1,72.8,"3,573","1,380",42°35′25″N 82°55′01″W﻿ ,United States,1782,,,,,28.2,28.2,0.04,,876 ft,,"3,432.5",,UTC-5 (Eastern (EST)),UTC-4 (EDT),"48035, 48036, 48038",26-16500,Official website,,,,586,1626099,Macomb,,,,,,,,
310,Edison,New Jersey,"100,693","99,967",+0.73%,30.1,78.0,"3,389","1,309",40°30′14″N 74°20′58″W﻿ ,United States,1651,Thomas Edison,Faulkner Act Mayor-Council,Township Council,"Thomas Lankey (D, term ends December 31, 2017)",30.638,29.940,0.698,,39 ft,"100,693","3,339.0",,UTC−5 (Eastern (EST)),UTC−4 (Eastern (EDT)),"08817, 08818, 08820, 08837, 08899",3402320230,www.edisonnj.org,,"March 17, 1870 (as Raritan Township)",,732 and 908,,Middlesex,,,,,,,,
311,Woodbridge,New Jersey,"100,450","99,585",+0.87%,23.3,60.3,"4,351","1,680",40°33′39″N 74°17′34″W﻿ ,United States,1664,John W. Woodbridge,Faulkner Act (Mayor-Council),Township Council,"John McCormac (D, term ends December 31, 2019)",63.4732,60.1222,3.3502,,18 m,"100,450","1,656.42",,UTC−5 (Eastern (EST)),UTC−4 (Eastern (EDT)),07001 - Avenel07064 - Port Reading07067 - Colonia07077 - Sewaren07095 - Woodbridge08830 - Iselin08832 - Keasbey08840 - Menlo Park Terrace08861 - Hopelawn08863 - Fords,34-82000,www.twp.woodbridge.nj.us,,"February 21, 1798",,732,,Middlesex,,,,,,,,
312,San Angelo,Texas,"100,215","93,200",+7.53%,59.9,155.1,"1,681",649,31°26′28″N 100°27′02″W﻿ ,United States,,,Council-Manager,,,,55.9,2.3,"118,182","1,844 ft",,"1,640",San Angeloan,UTC−6 (CST),UTC−5 (CDT),76901-09,48-64472,"The City of San Angelo, Texas",,,,325,1375953,Tom Green,58.2,,,,,Daniel Valenzuela,"Mayor Brenda GunterTommy Hiebert (District 1)Tom Thompson (District 2)Harry Thomas (District 3)Lucy Gonzales (District 4)Lane Carter (District 5)Billie DeWitt
(District 6)",
313,Kenosha,Wisconsin,"100,164","99,218",+0.95%,28.0,72.5,"3,577","1,381",42°34′56″N 87°50′44″W﻿ ,United States,1835,,Municipality,,John Antaramian,,27.91,0.09,,604 ft,"99,877","3,578.92",Kenoshan,UTC−6 (CST),UTC−5 (CDT),53140–53144,55-39225,www.kenosha.org,,"Kenosha, February 8, 1850","124,064",262,1567416,Kenosha,27.99,,,,,,,
314,Vacaville,California,"100,154","92,428",+8.36%,29.0,75.1,"3,449","1,332",38°21′14″N 121°58′22″W﻿ ,United States,,,,,Ron Rowlett,29.02,28.81,0.21,,174 ft,"100,032","3,412.23",,UTC−8 (Pacific),UTC−7 (PDT),"95687, 95688, 95696",06-81554,www.cityofvacaville.com,,"August 9, 1892",,707,"277624, 2412139",Solano,,,,,,,,
